プレハブ名,形状,セル数,検証数,画像ずれ,画像エラー,最小一致率,詳細
Stage312,Triangle,56,56,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(6,0): 一致率0.0 % Cell(7,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(6,1): 一致率0.0 % Cell(7,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(6,2): 一致率0.0 % Cell(7,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(6,3): 一致率0.0 % Cell(7,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(6,4): 一致率0.0 % Cell(7,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % Cell(6,5): 一致率0.0 % Cell(7,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % Cell(5,6): 一致率0.0 % Cell(6,6): 一致率0.0 % Cell(7,6): 一致率0.0 % "
Stage313,Hex,20,20,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % "
Stage314,Hex,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
Stage315,Hex,56,56,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(6,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(6,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(6,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(6,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(6,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % Cell(6,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % Cell(5,6): 一致率0.0 % Cell(6,6): 一致率0.0 % Cell(0,7): 一致率0.0 % Cell(1,7): 一致率0.0 % Cell(2,7): 一致率0.0 % Cell(3,7): 一致率0.0 % Cell(4,7): 一致率0.0 % Cell(5,7): 一致率0.0 % Cell(6,7): 一致率0.0 % "
Stage316,Square,20,20,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % "
Stage317,Square,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
Stage318,Square,56,56,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(6,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(6,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(6,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(6,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(6,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % Cell(6,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % Cell(5,6): 一致率0.0 % Cell(6,6): 一致率0.0 % Cell(0,7): 一致率0.0 % Cell(1,7): 一致率0.0 % Cell(2,7): 一致率0.0 % Cell(3,7): 一致率0.0 % Cell(4,7): 一致率0.0 % Cell(5,7): 一致率0.0 % Cell(6,7): 一致率0.0 % "
Stage319,Triangle,20,20,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.3 % Cell(2,0): 一致率0.4 % Cell(3,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(0,2): 一致率0.1 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(0,3): 一致率5.6 % Cell(1,3): 一致率3.4 % Cell(2,3): 一致率0.7 % Cell(3,3): 一致率0.0 % Cell(0,4): 一致率18.4 % Cell(1,4): 一致率8.0 % Cell(2,4): 一致率3.5 % Cell(3,4): 一致率0.0 % "
Stage320,Triangle,36,36,あり,なし,0.0 %,"Cell(0,0): 一致率0.9 % Cell(1,0): 一致率1.5 % Cell(2,0): 一致率0.2 % Cell(3,0): 一致率0.9 % Cell(4,0): 一致率3.3 % Cell(5,0): 一致率0.0 % Cell(0,1): 一致率1.6 % Cell(1,1): 一致率2.4 % Cell(2,1): 一致率3.7 % Cell(3,1): 一致率0.5 % Cell(4,1): 一致率0.8 % Cell(5,1): 一致率0.0 % Cell(0,2): 一致率0.2 % Cell(1,2): 一致率0.7 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.8 % Cell(4,2): 一致率3.5 % Cell(5,2): 一致率0.0 % Cell(0,3): 一致率0.7 % Cell(1,3): 一致率1.0 % Cell(2,3): 一致率0.3 % Cell(3,3): 一致率3.2 % Cell(4,3): 一致率7.4 % Cell(5,3): 一致率0.0 % Cell(0,4): 一致率0.1 % Cell(1,4): 一致率0.2 % Cell(2,4): 一致率0.1 % Cell(3,4): 一致率0.2 % Cell(4,4): 一致率0.1 % Cell(5,4): 一致率0.0 % Cell(0,5): 一致率19.3 % Cell(1,5): 一致率4.8 % Cell(2,5): 一致率0.5 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.5 % Cell(5,5): 一致率0.0 % "
Stage321,Triangle,56,56,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(6,0): 一致率0.0 % Cell(7,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(6,1): 一致率0.0 % Cell(7,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(6,2): 一致率0.0 % Cell(7,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(6,3): 一致率0.0 % Cell(7,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(6,4): 一致率0.0 % Cell(7,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % Cell(6,5): 一致率0.0 % Cell(7,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % Cell(5,6): 一致率0.0 % Cell(6,6): 一致率0.0 % Cell(7,6): 一致率0.0 % "
Stage322,Hex,20,20,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % "
Stage323,Hex,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
Stage324,Hex,48,48,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % Cell(5,6): 一致率0.0 % Cell(0,7): 一致率0.0 % Cell(1,7): 一致率0.0 % Cell(2,7): 一致率0.0 % Cell(3,7): 一致率0.0 % Cell(4,7): 一致率0.0 % Cell(5,7): 一致率0.0 % "
Stage325,Square,20,20,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % "
Stage326,Square,35,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 35セル "
Stage327,Square,48,48,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % Cell(5,6): 一致率0.0 % Cell(0,7): 一致率0.0 % Cell(1,7): 一致率0.0 % Cell(2,7): 一致率0.0 % Cell(3,7): 一致率0.0 % Cell(4,7): 一致率0.0 % Cell(5,7): 一致率0.0 % "
Stage328,Triangle,36,36,あり,なし,0.0 %,"Cell(0,0): 一致率2.0 % Cell(1,0): 一致率2.1 % Cell(2,0): 一致率3.6 % Cell(3,0): 一致率1.2 % Cell(4,0): 一致率3.0 % Cell(5,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.9 % Cell(3,1): 一致率0.2 % Cell(4,1): 一致率0.3 % Cell(5,1): 一致率0.0 % Cell(0,2): 一致率1.9 % Cell(1,2): 一致率0.1 % Cell(2,2): 一致率4.1 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(0,3): 一致率1.3 % Cell(1,3): 一致率2.0 % Cell(2,3): 一致率8.3 % Cell(3,3): 一致率0.5 % Cell(4,3): 一致率0.1 % Cell(5,3): 一致率0.0 % Cell(0,4): 一致率1.1 % Cell(1,4): 一致率3.4 % Cell(2,4): 一致率2.8 % Cell(3,4): 一致率2.4 % Cell(4,4): 一致率0.2 % Cell(5,4): 一致率0.0 % Cell(0,5): 一致率0.5 % Cell(1,5): 一致率0.5 % Cell(2,5): 一致率0.9 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % "
Stage329,Triangle,36,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 36セル "
Stage330,Triangle,49,49,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.1 % Cell(3,0): 一致率0.1 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(6,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.1 % Cell(2,1): 一致率0.7 % Cell(3,1): 一致率0.2 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(6,1): 一致率0.0 % Cell(0,2): 一致率0.2 % Cell(1,2): 一致率0.1 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(6,2): 一致率0.0 % Cell(0,3): 一致率0.1 % Cell(1,3): 一致率0.1 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(6,3): 一致率0.0 % Cell(0,4): 一致率0.1 % Cell(1,4): 一致率0.1 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(6,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.2 % Cell(4,5): 一致率1.7 % Cell(5,5): 一致率0.0 % Cell(6,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率2.0 % Cell(4,6): 一致率1.5 % Cell(5,6): 一致率0.0 % Cell(6,6): 一致率0.0 % "
Stage331,Hex,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
Stage332,Hex,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
Stage333,Hex,48,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 48セル "
Stage334,Square,20,20,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % "
Stage335,Square,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
